id,city,country,lat,long,description,closest airport
1,”London”,”England”,51.5074,0.1278,"Ah, London - home to world-class restaurants, an unparalleled music scene, and some seriously rich history. Plus, tea. Who could forget the tea? London is a wonderful city to visit, and with Englands fantastic public transportation, its a breeze to get from point A to point B. You could easily spend a week or more exploring all that each London neighborhood has to offer, and still have things left over for your next visit. With sites and cultural hubs like the National Portrait Gallery, Trafalgar Square, the Tower of London, Tower Bridge, Kensington Gardens, and all manner of food, drink, shopping, history, and culture, its no wonder why the Big Smoke is a top travel destination.","London, England - 24km"
2,”Mont Saint-Michel”,”France”,48.6361,1.5115,"Its safe to say there’s nothing in the world quite like this magical island, topped by a medieval monastery that rises out of the bay like a heavenly apparition. It’s said that, early in the 8th century, a bishop in nearby Avranches was visited by the archangel Michael, who told him to build a church atop an island out to sea. From 966 onward, the dukes of Normandy, supported by French kings, oversaw the development of a major Benedictine abbey on Mont St-Michel. Massive buildings were added throughout the Medieval period, and the abbey became a renowned center of learning, attracting some of the greatest minds in Europe. The picturesque island rises majestically from the sea during high tide and is accessible to the mainland during low tide. ","Rennes, France - 75km"
3,”Vienna”,”Austria”,48.2082,16.3738,"There are plenty of reasons to fall in love with Vienna: the majestic architecture; the imperial presence in the streets of the Innere Stadt (the First District); the music, literature, and art. Best of all, the city has a longstanding tradition of allowing music, opera, and philharmonic orchestra to remain available to everyone from students to royalty. Vienna is among Europe’s most walkable cities, and each district has its own distinct vibe. The ancient paths of the First District give way to the Donaukanal—the branch of the Danube that runs through the city. Take a tram around the Ringstrasse, which circles the inner city, to see the breadth of the architecture or stop at an iconic café for a coffee and a strudel. Across the river, you’ll find the newly vibrant Second District, Leopoldstadt. ","Vienna, Austria - 18km"
4,”Berlin”,”Germany”,52.52,13.405,"Berlins quirky enclave attracts artists and other creatives, expats, misfits, entrepreneurs, and immigrants, who happily live amid long-standing Berliners who call this city home. The diversity means it’s hard to pin down Berlin’s ambience precisely: it’s whatever you want it to be. When you visit Berlin, reminders of the city’s fragile history—like the Berlin Wall and Berlin Palace—will surround you. Such historical attractions mingle with today’s many nightclubs, which have made Berlin one of Europe’s most exciting destinations for young adults who travel to Berlin to experience the booming techno scene. Still, the city offers plenty of outdoor attractions like the Tiergarten and Viktoriapark, and an impressive collection of cutting-edge museums and galleries. No matter your interests, there’s never a shortage of things to see and do, and our Berlin travel guide proves it.","Berlin, Germany - 18km"
5,”Napa Valley”,”United States”,38.5025,122.2654,"Napa Valley is more than just excellent wines—its history has roots as deep as those of the region’s old Cabernet vines. In downtown Napa, 19th-century architecture and Queen Anne mansions still populate the riverfront, though new hotels, tasting rooms, and restaurants are transforming the town into a cool, walkable hub. On the southern end of the valley, Carneros shows off the county’s rustic roots with boutique wineries and elegantly understated hotels modeled after farmhouses. Central Napa is as chic as ever, with Michelin-starred restaurants and winery design inspired by French châteaux constantly one-upping one another. In this region, more than 400 wineries crush, age, and pour California’s best wines, making Napa a must-visit for oenophiles.","Oakland, California - 113km"
6,”New York City”,”United States”,40.7128,-74.006,"Whatever it is youre into, youll find theres more to do in New York than youll have time. Check out the views from the top of the Empire State Building, Rockefeller Center, or One World Observatory. Take yourself on a museum crawl, starting at The Metropolitan Museum of Art on the northeastern edge of Central Park. Then, make your way north several blocks to the Guggenheim Museum and eventually to the Museum of the City of New York, one of the best places to learn about the Big Apples history. Go to Chinatown for dim sum and to Little Italy for cannoli. Head to a jazz club in Harlem, check out the independent artist galleries that dot Chelsea, shop along Fifth Avenue, and pay a visit to the Statue of Liberty. ","New York City, New York - 14km"
7,”Banff”,”Canada”,51.1784,-115.5708,"Dramatic mountains, shimmering glaciers and Swiss-village-style charm. The oldest national park in Canada has a majestic beauty and offers a playground of outdoor sports options—from hiking to skiing to fishing and more. It has walkable streets, a wide range of restaurants, and no shortage of fudge shops. The town started, ostensibly, in 1888 when the Canadian Pacific Railway built the grande dame Banff Springs Hotel, in order to get more people to visit Banff National Park. Clearly, the gamble worked. While you can not fault this popular part of the Canadian Rockies as being a blissfully quiet getaway, it’s worth it to subject yourself to any bustle: this place is gorgeous.","Calgary, Canada - 109km"
8,”Yaki Point”,”United States”,36.0584,-112.0836,"Yaki point is located in the Grand Canyon National Park, Arizona. At an elevation of 2213 m above sea level, it offers panoramic views over the canyon which take your breath away. A sunrise or sunset observed from Yaki Point is an unforgettable, once-in-a-lifetime experience which should definitely not be missed!
Yaki Point is easily accessed from the visitor`s center in Grand Canyon Village, Arizona.","Phoenix, Arizona - 350km"
9,”Taj Mahal”,”India”,27.1751,78.0421,"Designated the winner of the “New 7 Wonders of the World” in 2007, the Taj Mahal (literally: crown of the palace) was commissioned by emperor Shah Jahan in 1631 in honor of his wife Mumtaz Mahal, who died whilst giving birth to their 14th child. Her tomb forms the main part of the interior, flanked by four minarets. The building is constructed entirely of white marble, inlaid with semi-precious stones; the marble takes on different colors according to the time of day.
Photos cannot do justice to its beauty: it has to be seen to be believed. The Taj Mahal was designated an UNESCO World Heritage Site in 1983. It lies in Agra, Uttar Pradesh in northeastern India.","Agra, India - 8km"
10,”Machu Picchu”,”Peru”,-13.1631,-72.545,"Designated one of the New 7 Wonders of the world in 2007, this 15th century Inca citadel was abandoned by the Incas at the time of the Spanish conquistas, so that it was neither discovered nor plundered and destroyed as most other Inca artefacts were. Located on a mountain ridge at an elevation of 2.430 m above sea level, Machu Picchu is built in the typical “ashlar” technique of the Incas, in which huge blocks of stone are cut regularly to fit together without mortar. The Incas were masters of this technique; Machu Picchu shows us that they were also skilled in the construction of terraced fields and aqueducts.
","Cusco, Peru - 75km"
11,”Cairo”,”Egypt”,30.0444,31.2357,"The desert heat, the noisy streets and the sheer size of Cairo will leave even the most adaptable traveler with a serious case of culture shock. The constant bombardment of street vendors, the inescapable aroma of livestock and the seemingly chaotic way of life will joggle the senses. But be patient. Take some time to relax over a cup of tea, to wander the ancient streets and to watch the sun lower over the mighty Nile River. It wont take long for the citys treasures to reveal themselves.","Cairo, Egypt - 21km"
12,”Niagra Falls”,”United States”,43.0962,-79.0377,"Probably the most famous waterfall in the world, Niagara Falls – which bridge the border between the United States and Canada – actually comprise three waterfalls: the Horseshoe Falls, the American Falls and the Bridal Falls (both in the United States). Horseshoe Falls, the largest, falls approximately 57 metres and is around 790 metres wide. This stupendous natural phenomenon was caused around 10.000 years ago by the Wisconsin Glaciation. Throughout history, it has inspired writers, painters, poets and musicians as well as a number of daredevil stunts, some of which ended fatally.","Buffalo, New York - 40km"
13,”Santorini”,”Greece”,36.3932,25.4615,"This well-loved Greek destination combines in a unique way all the attractions of a paradise island with a lively night-life, comfortable hotels, excellent restaurants and locals well-used to catering for tourists! Santorini has long been a favorite honeymoon destination, and it is not difficult to see why; the island is quite unashamedly romantic, and its sunsets are world famous. The two biggest villages, Oia and Imerovigli, are beautiful places to stay, but the quieter Finikia and Akrotiri are great getaways during the busier tourist months!","Santorini, Greece - 5km"
14,”Venice”,”Italy”,45.4408,12.3155,"If there is one European destination which should be on every bucket list, it has to be Venice. This “floating city” is actually a series of small islands connected by bridges and waterways: there are no cars or roads in Venice. Established as a naval and economical city state between the 9th and 12th centuries, Venice flourished as a center of the arts during the Renaissance, and many of the city’s most famous sights (Piazza San Marco, Santa Maria dei Miracoli, Scuola Grande di San Rocco) bear witness to this. A trip to the famous glass-making islands of Burano and Murano is a must, as is (of course) a trip down the Grande Canale on a gondola.","Venice, Italy - 12km"
